"RK","PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Ashton Jeanty",LV,"RB1","21","1","1","1.0","0.0","0"
"2","Omarion Hampton",LAC,"RB2","22","2","4","2.7","0.8","0"
"3","Tetairoa McMillan",CAR,"WR1","22","2","3","2.7","0.5","+1"
"4","Travis Hunter",JAC,"WR2","22","3","4","3.8","0.4","+1"
"5","TreVeyon Henderson",NE,"RB3","22","4","6","5.3","0.8","-2"
"6","Emeka Egbuka",TB,"WR3","22","6","9","7.2","1.1","+1"
"7","RJ Harvey",DEN,"RB4","24","5","10","7.3","1.7","-1"
"8","Colston Loveland",CHI,"TE1","21","5","11","8.0","1.8","+4"
"9","Tyler Warren",IND,"TE2","23","7","10","8.3","0.9","+1"
"10","Kaleb Johnson",PIT,"RB5","22","9","11","9.8","0.7","-2"
"11","Jayden Higgins",HOU,"WR4","22","11","13","12.2","0.9","+2"
"12","Matthew Golden",GB,"WR5","22","10","15","12.8","1.6","-3"
"13","Luther Burden III",CHI,"WR6","21","11","17","13.3","2.3","+2"
"14","Quinshon Judkins",CLE,"RB6","21","10","18","13.7","2.7","-3"
"15","Tre' Harris",LAC,"WR7","23","13","15","14.0","0.8","+4"
"16","Cam Ward",TEN,"QB1","23","14","19","15.7","1.7","0"
"17","Bhayshul Tuten",JAC,"RB7","23","16","21","18.0","1.8","0"
"18","Cam Skattebo",NYG,"RB8","23","17","22","19.5","1.9","-4"
"19","Jaylin Noel",HOU,"WR8","22","17","26","20.2","3.1","+9"
"20","Kyle Williams",NE,"WR9","22","17","26","21.2","3.0","+1"
"21","Jack Bech",LV,"WR10","22","17","25","21.2","3.0","+6"
"22","Jaxson Dart",NYG,"QB2","22","17","26","22.0","3.1","+2"
"23","Mason Taylor",NYJ,"TE3","21","20","28","23.7","3.2","-1"
"24","Elijah Arroyo",SEA,"TE4","22","21","28","24.0","2.1","+5"
"25","Terrance Ferguson",LAR,"TE5","22","21","33","24.8","4.0","+21"
"26","Elic Ayomanor",TEN,"WR11","22","23","30","27.5","2.4","+5"
"27","Dylan Sampson",CLE,"RB9","20","22","41","30.2","6.2","-7"
"28","Harold Fannin Jr.",CLE,"TE6","21","24","36","30.2","3.9","+10"
"29","Jalen Royals",KC,"WR12","22","27","38","31.3","3.5","+7"
"30","Jaydon Blue",DAL,"RB10","21","28","34","31.3","2.1","-12"
"31","Jarquez Hunter",LAR,"RB11","22","23","40","32.0","5.5","+10"
"32","Jacory Croskey-Merritt",WAS,"RB12","24","27","40","32.5","4.4","-9"
"33","Jalen Milroe",SEA,"QB3","22","26","40","33.5","5.4","+9"
"34","Pat Bryant",DEN,"WR13","22","24","53","33.7","9.5","-9"
"35","Tyler Shough",NO,"QB4","25","27","46","35.3","6.3","+4"
"36","Tory Horton",SEA,"WR14","22","31","47","36.2","5.2","-3"
"37","DJ Giddens",IND,"RB13","22","36","41","38.5","1.9","-2"
"38","Isaac TeSlaa",DET,"WR15","23","29","56","41.0","10.5","-4"
"39","Tahj Brooks",CIN,"RB14","23","37","45","41.0","2.8","-2"
"40","Shedeur Sanders",CLE,"QB5","23","34","53","42.0","6.5","0"
"41","Ollie Gordon II",MIA,"RB15","21","39","45","42.5","1.9","-15"
"42","Woody Marks",HOU,"RB16","24","37","48","42.8","3.9","-12"
"43","Brashard Smith",KC,"RB17","22","38","49","43.3","4.0","+1"
"44","Trevor Etienne",CAR,"RB18","21","37","58","45.0","7.5","+3"
"45","Oronde Gadsden II",LAC,"TE7","22","35","56","45.3","6.5","+6"
"46","Dont'e Thornton Jr.",LV,"WR16","22","31","65","47.5","13.1","-14"
"47","Kyle Monangai",CHI,"RB19","23","35","51","47.5","5.8","-4"
"48","Jordan James",SF,"RB20","21","39","56","47.8","5.8","+4"
"49","Savion Williams",GB,"WR17","23","44","54","49.2","3.2","+8"
"50","KeAndre Lambert-Smith",LAC,"WR18","23","45","62","50.3","5.7","-2"
"51","Devin Neal",NO,"RB21","22","46","60","51.3","5.0","-6"
"52","Tai Felton",MIN,"WR19","22","43","56","51.5","4.0","+4"
"53","Will Howard",PIT,"QB6","23","43","64","54.3","8.5","+5"
"54","Gunnar Helm",TEN,"TE8","22","50","59","55.5","3.7","+1"
"55","Jaylin Lane",WAS,"WR20","23","48","71","58.3","8.4","-6"
"56","Damien Martinez",FA,"RB22","21","46","58","50.0","4.2","+3"
"57","LeQuint Allen Jr.",JAC,"RB23","21","43","69","59.3","8.4","+10"
"58","Dillon Gabriel",CLE,"QB7","24","50","66","59.5","6.2","+5"
"59","Chimere Dike",TEN,"WR21","23","56","78","62.3","7.8","+5"
"60","Xavier Restrepo",FA,"WR22","23","52","82","63.0","10.1","-6"
"61","Tez Johnson",TB,"WR23","23","57","76","64.8","7.0","+5"
"62","Ricky White III",FA,"WR24","23","57","76","65.2","7.9","+14"
"63","Kyle McCord",FA,"QB8","22","63","71","67.8","2.7","+8"
"64","Mitchell Evans",CAR,"TE9","22","55","102","68.8","15.8","+25"
"65","Kalel Mullings",TEN,"RB24","22","61","77","69.2","5.8","0"
"66","Phil Mafah",DAL,"RB25","22","53","69","63.0","5.5","-5"
"67","Arian Smith",NYJ,"WR25","23","61","79","69.3","5.7","-5"
"68","Jordan Watkins",SF,"WR26","23","49","90","66.0","13.9","0"
"69","Raheim Sanders",FA,"RB26","23","59","76","67.8","6.0","+5"
"70","Thomas Fidone II",NYG,"TE10","22","50","75","60.0","9.3","+11"
"71","Quinn Ewers",MIA,"QB9","22","62","76","69.4","4.6","-1"
"72","Kurtis Rourke",SF,"QB10","24","58","77","69.8","7.1","+76"
"73","Riley Leonard",IND,"QB11","22","57","82","70.2","8.7","0"
"74","Nick Nash",FA,"WR27","25","44","85","70.6","15.4","-2"
"75","Efton Chism III",NE,"WR28","23","46","57","52.0","4.5","-22"
"76","Jimmy Horn Jr.",CAR,"WR29","22","67","83","76.0","5.7","-16"
"77","Isaiah Bond",CLE,"WR30","21","59","115","78.8","20.2","-27"
"78","Marcus Yarns",FA,"RB27","23","59","68","62.7","3.9","-1"
"79","Luke Lachey",FA,"TE11","24","70","86","78.2","5.4","+9"
"80","Kaden Prather",BUF,"WR31","22","68","89","78.8","6.8","+7"
"81","Elijhah Badger",FA,"WR32","24","60","73","66.0","5.3","+2"
"82","Jake Briningstool",KC,"TE12","22","68","92","80.4","7.8","+37"
"83","Donovan Edwards",FA,"RB28","22","58","107","82.0","15.9","+1"
"84","Gavin Bartholomew",MIN,"TE13","22","61","88","73.7","11.1","+38"
